chart_name,description,category,tags,popularity,version,verified_publisher,developer,repository_url,license_type,rating_count,popularity_scaled,rating_count_scaled,popularity_category,text_combined,topic_1,topic_2,topic_3,topic_4,topic_5
kube-prometheus-stack,"kube-prometheus-stack collects Kubernetes manifests, Grafana dashboards, and Prometheus rules combined with documentation and scripts to provide easy to operate end-to-end Kubernetes cluster monitoring with Prometheus using the Prometheus Operator.",Visualization,"kube-prometheus-stack, prometheus_community.github.io, cluster, helm_charts, collects, visualization, operator, prometheus-community",937,68.1.1,TRUE,prometheus-community,https://prometheus-community.github.io/helm-charts,Apache-2.0,0,1,0,2,"kube-prometheus-stack collects Kubernetes manifests, Grafana dashboards, and Prometheus rules combined with documentation and scripts to provide easy to operate end-to-end Kubernetes cluster monitoring with Prometheus using the Prometheus Operator. kube-prometheus-stack, prometheus_community.github.io, cluster, helm_charts, collects, visualization, operator, prometheus-community",0.04200965661,0.04197683324,0.8348736316,0.04061725883,0.0405226197
cert-manager,A Helm chart for cert-manager,Certificate Management,"cert-manager, charts.jetstack.io, certificate management",740,1.16.3,TRUE,cert-manager,https://charts.jetstack.io,Apache-2.0,0,0.7897545358,0,2,"A Helm chart for cert-manager cert-manager, charts.jetstack.io, certificate management",0.05845561685,0.05823939256,0.7664818133,0.05879303779,0.05803013953
ingress-nginx,Ingress controller for Kubernetes using NGINX as a reverse proxy and load balancer,Ingress Controller,"ingress-nginx, ingress controller, ingress, controller, kubernetes.github.io, ingress_nginx, for",703,4.12.0,FALSE,ingress-nginx,https://kubernetes.github.io/ingress-nginx,Unknown,0,0.750266809,0,2,"Ingress controller for Kubernetes using NGINX as a reverse proxy and load balancer ingress-nginx, ingress controller, ingress, controller, kubernetes.github.io, ingress_nginx, for",0.05156108559,0.7944341958,0.05128921682,0.05151278627,0.05120271552
argo-cd,"A Helm chart for Argo CD, a declarative, GitOps continuous delivery tool for Kubernetes.",Secrets Management,"argo, secrets management, argoproj.github.io, argo_helm",622,7.7.16,TRUE,argo,https://argoproj.github.io/argo-helm,Unknown,0,0.6638207044,0,1,"A Helm chart for Argo CD, a declarative, GitOps continuous delivery tool for Kubernetes. argo, secrets management, argoproj.github.io, argo_helm",0.8089584725,0.04776137784,0.0476511575,0.048343366,0.04728562616
prometheus,Prometheus is a monitoring system and time series database.,Visualization,"prometheus, prometheus_community.github.io, helm_charts, visualization, prometheus-community",445,26.1.0,TRUE,prometheus-community,https://prometheus-community.github.io/helm-charts,Apache-2.0,0,0.4749199573,0,1,"Prometheus is a monitoring system and time series database. prometheus, prometheus_community.github.io, helm_charts, visualization, prometheus-community",0.05376645058,0.05356681681,0.7867865198,0.05363922765,0.05224098517
redis,"Redis(R) is an open source, advanced key-value store. It is often referred to as a data structure server since keys can contain strings, hashes, lists, sets and sorted sets.",Database,"bitnami, an, charts.bitnami.com, redis(r), database",426,20.6.3,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.454642476,0,1,"Redis(R) is an open source, advanced key-value store. It is often referred to as a data structure server since keys can contain strings, hashes, lists, sets and sorted sets. bitnami, an, charts.bitnami.com, redis(r), database",0.4655285233,0.04521343416,0.04386351113,0.3992928758,0.04610165568
grafana,The leading tool for querying and visualizing time series and metrics.,Visualization,"grafana, grafana.github.io, helm_charts, leading, the, visualization, tool",424,8.8.3,FALSE,grafana,https://grafana.github.io/helm-charts,Apache-2.0,0,0.4525080043,0,1,"The leading tool for querying and visualizing time series and metrics. grafana, grafana.github.io, helm_charts, leading, the, visualization, tool",0.3956935695,0.0570734888,0.4369830443,0.05579722101,0.05445267643
postgresql,"PostgreSQL (Postgres) is an open source object-relational database known for reliability and data integrity. ACID-compliant, it supports foreign keys, joins, views, triggers and stored procedures.",Database,"bitnami, charts.bitnami.com, postgresql, database, (postgres)",352,16.4.3,TRUE,bitnami,https://charts.bitnami.com/bitnami,Unknown,0,0.3756670224,0,1,"PostgreSQL (Postgres) is an open source object-relational database known for reliability and data integrity. ACID-compliant, it supports foreign keys, joins, views, triggers and stored procedures. bitnami, charts.bitnami.com, postgresql, database, (postgres)",0.04649766464,0.8142758301,0.04591646597,0.04745319005,0.04585684924
kubernetes-dashboard,General-purpose web UI for Kubernetes clusters,"Topic 1: Operator, Cluster, Management","web, dashboard, general-purpose, uncategorized, k8s-dashboard, kubernetes.github.io, ui",324,7.10.1,FALSE,k8s-dashboard,https://kubernetes.github.io/dashboard,Unknown,0,0.3457844184,0,1,"General-purpose web UI for Kubernetes clusters web, dashboard, general-purpose, uncategorized, k8s-dashboard, kubernetes.github.io, ui",0.4856488843,0.05421427814,0.05266639771,0.3550889004,0.05238153952
traefik,A Traefik based Kubernetes ingress controller,Ingress Controller,"traefik.github.io, based, ingress controller, traefik",304,34.1.0,TRUE,traefik,https://traefik.github.io/charts,Apache-2.0,0,0.3244397012,0,0,"A Traefik based Kubernetes ingress controller traefik.github.io, based, ingress controller, traefik",0.731332444,0.0681157193,0.0668820236,0.06744272384,0.06622708921
