                   Cluster_ID,Team,Deployment,Chart Name,CPU Used,Memory Used (GB),Storage Used (GB),CPU Allocated,Memory Allocated (GB),Storage Allocated (GB),deployment_count
1,DE,1,Yugabyte,6816,16.63,267,75000,150,2000,4
1,DE,1,Openebs,4409,16.09,192,75000,150,2000,7
1,DE,1,Timescaledb,4250,6.37,121,75000,150,2000,9
1,DE,1,Restic,10654,19.26,148,75000,150,2000,5
1,DE,1,Cassandra,3868,13.91,147,75000,150,2000,2
1,DE,1,Ceph,5836,6.68,120,75000,150,2000,9
1,DE,1,Mongodb,9659,9.73,128,75000,150,2000,7
1,DE,1,Scylladb,4664,11.82,149,75000,150,2000,5
1,DE,2,Yugabyte,4255,10.53,196,75000,150,2000,2
1,DE,2,Openebs,6041,13.15,93,75000,150,2000,3
1,DE,2,Timescaledb,3652,12.22,75,75000,150,2000,1
1,DE,2,Restic,3148,12.4,115,75000,150,2000,4
1,DE,2,Cassandra,9742,12.89,150,75000,150,2000,6
1,DE,2,Ceph,5186,13.05,175,75000,150,2000,5
1,DE,2,Mongodb,8427,4.87,196,75000,150,2000,7
1,DE,2,Scylladb,7239,11.15,209,75000,150,2000,5
1,DE,3,Yugabyte,8411,7.67,114,75000,150,2000,3
1,DE,3,Openebs,7902,10.22,221,75000,150,2000,9
1,DE,3,Timescaledb,5297,16.83,233,75000,150,2000,5
1,DE,3,Restic,4312,5.31,79,75000,150,2000,3
1,DE,3,Cassandra,7682,6.27,196,75000,150,2000,4
1,DE,3,Ceph,5919,17.43,115,75000,150,2000,3
1,DE,3,Mongodb,7032,12.23,239,75000,150,2000,4
1,DE,3,Scylladb,3457,16.19,124,75000,150,2000,8
1,DE,4,Yugabyte,4688,9.09,178,75000,150,2000,8
1,DE,4,Openebs,3423,9.64,175,75000,150,2000,4
1,DE,4,Timescaledb,8162,8.02,121,75000,150,2000,7
1,DE,4,Restic,7958,11.8,170,75000,150,2000,9
1,DE,4,Cassandra,3335,9.46,93,75000,150,2000,10
1,DE,4,Ceph,8528,12.48,218,75000,150,2000,1
1,DE,4,Mongodb,8588,18.88,197,75000,150,2000,3
1,DE,4,Scylladb,6304,15.99,191,75000,150,2000,2
1,DE,5,Yugabyte,8977,10.63,112,75000,150,2000,3
1,DE,5,Openebs,9780,7.68,103,75000,150,2000,6
1,DE,5,Timescaledb,6758,10.12,211,75000,150,2000,6
1,DE,5,Restic,3363,14.76,95,75000,150,2000,6
1,DE,5,Cassandra,6452,6.3,186,75000,150,2000,9
1,DE,5,Ceph,4930,16.72,163,75000,150,2000,3
1,DE,5,Mongodb,4651,17.81,139,75000,150,2000,2
1,DE,5,Scylladb,5287,8.44,235,75000,150,2000,6
1,DE,6,Yugabyte,6238,18.32,141,75000,150,2000,5
1,DE,6,Openebs,7891,16.16,141,75000,150,2000,10
1,DE,6,Timescaledb,7941,17.05,142,75000,150,2000,6
1,DE,6,Restic,2561,13.44,218,75000,150,2000,3
1,DE,6,Cassandra,3967,16.67,95,75000,150,2000,4
1,DE,6,Ceph,8113,5,80,75000,150,2000,3
1,DE,6,Mongodb,6918,5.66,135,75000,150,2000,2
1,DE,6,Scylladb,2721,6.68,244,75000,150,2000,4
2,DE,1,PostgreSQL,13250,21.4,306,120000,200,3000,10
2,DE,1,MySQL,7901,14.5,203,120000,200,3000,2
2,DE,1,CockroachDB,9359,24.18,298,120000,200,3000,4
2,DE,1,Redis,9030,10.99,139,120000,200,3000,2
2,DE,1,Kafka,12973,24.62,488,120000,200,3000,5
2,DE,1,TimescaleDB,12512,17.22,240,120000,200,3000,8
2,DE,1,ScyllaDB,10381,16.61,331,120000,200,3000,5
2,DE,2,PostgreSQL,11615,22.15,302,120000,200,3000,9
2,DE,2,MySQL,10512,14.86,276,120000,200,3000,4
2,DE,2,CockroachDB,10261,25.14,298,120000,200,3000,2
2,DE,2,Redis,7896,14.59,112,120000,200,3000,1
2,DE,2,Kafka,15465,26.98,363,120000,200,3000,9
2,DE,2,TimescaleDB,10714,19.45,248,120000,200,3000,9
2,DE,2,ScyllaDB,14183,16.27,293,120000,200,3000,6
2,DE,3,PostgreSQL,8054,16.06,219,120000,200,3000,3
2,DE,3,MySQL,7355,11.97,186,120000,200,3000,7
2,DE,3,CockroachDB,11205,22.87,353,120000,200,3000,7
2,DE,3,Redis,9486,13.42,116,120000,200,3000,7
2,DE,3,Kafka,13911,27.82,530,120000,200,3000,1
2,DE,3,TimescaleDB,11087,13.25,196,120000,200,3000,1
2,DE,3,ScyllaDB,10960,19.77,258,120000,200,3000,2
2,DE,4,PostgreSQL,13637,18.11,230,120000,200,3000,6
2,DE,4,MySQL,9872,20.27,263,120000,200,3000,7
2,DE,4,CockroachDB,12561,26.78,365,120000,200,3000,4
2,DE,4,Redis,9157,11.19,185,120000,200,3000,3
2,DE,4,Kafka,11318,30.74,475,120000,200,3000,6
2,DE,4,TimescaleDB,8088,10.6,312,120000,200,3000,4
2,DE,4,ScyllaDB,12977,20.67,256,120000,200,3000,3
2,DE,5,PostgreSQL,9897,18.46,264,120000,200,3000,10
2,DE,5,MySQL,10308,16.67,235,120000,200,3000,5
2,DE,5,CockroachDB,17762,23.74,368,120000,200,3000,7
2,DE,5,Redis,7134,12,150,120000,200,3000,3
2,DE,5,Kafka,13477,24.24,445,120000,200,3000,2
2,DE,5,TimescaleDB,10257,17.07,244,120000,200,3000,1
2,DE,5,ScyllaDB,8398,15.56,201,120000,200,3000,3
2,DE,6,PostgreSQL,10918,17.4,289,120000,200,3000,2
2,DE,6,MySQL,11285,16.78,181,120000,200,3000,2
2,DE,6,CockroachDB,9061,24.54,297,120000,200,3000,1
2,DE,6,Redis,7183,13.56,168,120000,200,3000,9
2,DE,6,Kafka,15212,30.8,433,120000,200,3000,5
2,DE,6,TimescaleDB,10334,10.8,268,120000,200,3000,9
2,DE,6,ScyllaDB,12975,17.81,235,120000,200,3000,7
3,BI,1,Superset,4904,6.45,92,75000,150,2000,5
3,BI,1,Airflow,8854,13.61,217,75000,150,2000,8
3,BI,1,Trino,11272,23.99,212,75000,150,2000,4
3,BI,1,Dremio,10358,20.27,246,75000,150,2000,5
3,BI,1,Tableau Server,8109,17.33,224,75000,150,2000,1
3,BI,1,Metabase,3051,7.42,188,75000,150,2000,3
3,BI,1,Prometheus,5481,12.98,213,75000,150,2000,8
3,BI,2,Superset,5341,10.71,100,75000,150,2000,4
3,BI,2,Airflow,6695,12.74,224,75000,150,2000,7
3,BI,2,Trino,6835,20.92,273,75000,150,2000,9
3,BI,2,Dremio,8930,18.63,261,75000,150,2000,9
3,BI,2,Tableau Server,7581,9.67,164,75000,150,2000,9
3,BI,2,Metabase,3561,11.49,98,75000,150,2000,7
3,BI,2,Prometheus,6268,11.45,169,75000,150,2000,7
3,BI,3,Superset,5630,5.64,87,75000,150,2000,2
3,BI,3,Airflow,6202,14.51,210,75000,150,2000,1
3,BI,3,Trino,8128,12.11,218,75000,150,2000,8
3,BI,3,Dremio,9149,19.59,309,75000,150,2000,3
3,BI,3,Tableau Server,6393,16.65,172,75000,150,2000,6
3,BI,3,Metabase,3912,11.11,151,75000,150,2000,7
3,BI,3,Prometheus,6503,11.64,181,75000,150,2000,4
3,BI,4,Superset,3927,8.75,76,75000,150,2000,10
3,BI,4,Airflow,8169,17.6,153,75000,150,2000,7
3,BI,4,Trino,7249,20.15,267,75000,150,2000,6
3,BI,4,Dremio,10996,20.29,259,75000,150,2000,7
3,BI,4,Tableau Server,7817,10.89,244,75000,150,2000,3
3,BI,4,Metabase,5177,8.57,111,75000,150,2000,9
3,BI,4,Prometheus,8254,11.67,132,75000,150,2000,8
3,BI,5,Superset,5810,7.73,77,75000,150,2000,10
3,BI,5,Airflow,7893,12.5,150,75000,150,2000,9
3,BI,5,Trino,8219,20.48,233,75000,150,2000,7
3,BI,5,Dremio,7974,23.22,270,75000,150,2000,10
3,BI,5,Tableau Server,7179,10.55,230,75000,150,2000,5
3,BI,5,Metabase,3851,5.49,130,75000,150,2000,3
3,BI,5,Prometheus,5456,10.66,136,75000,150,2000,5
3,BI,6,Superset,3994,6.16,77,75000,150,2000,9
3,BI,6,Airflow,6160,15.97,176,75000,150,2000,8
3,BI,6,Trino,9879,17.79,268,75000,150,2000,2
3,BI,6,Dremio,10941,15.46,249,75000,150,2000,10
3,BI,6,Tableau Server,8770,14.62,212,75000,150,2000,8
3,BI,6,Metabase,5967,11.5,168,75000,150,2000,4
3,BI,6,Prometheus,4742,10.18,136,75000,150,2000,4
4,BI,1,Tableau Server,12213,14.36,332,120000,200,3000,1
4,BI,1,Prometheus,9600,17.9,205,120000,200,3000,3
4,BI,1,Dremio,14607,23.66,400,120000,200,3000,5
4,BI,1,Superset,5887,8.17,173,120000,200,3000,1
4,BI,1,Trino,11472,24.77,320,120000,200,3000,1
4,BI,1,Metabase,7562,14.7,155,120000,200,3000,6
4,BI,1,Airflow,11055,21.46,255,120000,200,3000,8
4,BI,2,Tableau Server,10472,20.9,341,120000,200,3000,10
4,BI,2,Prometheus,11465,19.13,218,120000,200,3000,6
4,BI,2,Dremio,18082,22.87,358,120000,200,3000,9
4,BI,2,Superset,5770,8.66,161,120000,200,3000,9
4,BI,2,Trino,11671,20.31,335,120000,200,3000,3
4,BI,2,Metabase,7878,13.12,237,120000,200,3000,8
4,BI,2,Airflow,8952,23.38,277,120000,200,3000,2
4,BI,3,Tableau Server,10458,20.25,277,120000,200,3000,2
4,BI,3,Prometheus,10494,12.78,225,120000,200,3000,9
4,BI,3,Dremio,15175,36.21,366,120000,200,3000,2
4,BI,3,Superset,8681,11.21,98,120000,200,3000,1
4,BI,3,Trino,14819,21.11,277,120000,200,3000,3
4,BI,3,Metabase,8216,10.62,245,120000,200,3000,10
4,BI,3,Airflow,9789,19.11,316,120000,200,3000,5
4,BI,4,Tableau Server,12672,18.96,294,120000,200,3000,4
4,BI,4,Prometheus,6129,18.15,262,120000,200,3000,7
4,BI,4,Dremio,13624,28.98,324,120000,200,3000,3
4,BI,4,Superset,7212,6.68,152,120000,200,3000,5
4,BI,4,Trino,16113,25.41,356,120000,200,3000,5
4,BI,4,Metabase,4911,10.05,181,120000,200,3000,6
4,BI,4,Airflow,12458,21.56,282,120000,200,3000,2
4,BI,5,Tableau Server,14762,13.38,364,120000,200,3000,7
4,BI,5,Prometheus,8196,12.13,201,120000,200,3000,3
4,BI,5,Dremio,12901,30.41,372,120000,200,3000,1
4,BI,5,Superset,8073,9.28,136,120000,200,3000,5
4,BI,5,Trino,12168,20.74,313,120000,200,3000,5
4,BI,5,Metabase,7107,14.18,208,120000,200,3000,1
4,BI,5,Airflow,16445,27.93,265,120000,200,3000,1
4,BI,6,Tableau Server,8981,18,273,120000,200,3000,1
4,BI,6,Prometheus,9185,16.49,246,120000,200,3000,2
4,BI,6,Dremio,17951,30.89,448,120000,200,3000,1
4,BI,6,Superset,5983,9.85,139,120000,200,3000,10
4,BI,6,Trino,15912,28.2,276,120000,200,3000,4
4,BI,6,Metabase,4705,10.69,131,120000,200,3000,3
4,BI,6,Airflow,10435,14.1,290,120000,200,3000,6
5,SRE,1,Thanos,6971,11.45,136,75000,150,2000,2
5,SRE,1,Tempo,6278,11.78,120,75000,150,2000,1
5,SRE,1,Fluentd,4387,6.89,123,75000,150,2000,8
5,SRE,1,Loki,9244,15.42,138,75000,150,2000,8
5,SRE,1,Nginx ingress,6138,11.96,120,75000,150,2000,1
5,SRE,1,Opentelemetry,3523,14.93,114,75000,150,2000,8
5,SRE,1,Grafana,2806,6.45,118,75000,150,2000,3
5,SRE,1,Kibana,6457,10.66,97,75000,150,2000,4
5,SRE,1,Elasticsearch,6586,14.19,248,75000,150,2000,6
5,SRE,2,Thanos,4873,12.71,171,75000,150,2000,2
5,SRE,2,Tempo,4258,10.25,126,75000,150,2000,10
5,SRE,2,Fluentd,3118,7.72,88,75000,150,2000,3
5,SRE,2,Loki,10022,12.2,173,75000,150,2000,1
5,SRE,2,Nginx ingress,5538,8.91,154,75000,150,2000,5
5,SRE,2,Opentelemetry,5131,9.27,162,75000,150,2000,10
5,SRE,2,Grafana,4670,5.47,80,75000,150,2000,1
5,SRE,2,Kibana,4993,9.67,111,75000,150,2000,5
5,SRE,2,Elasticsearch,9554,14.99,212,75000,150,2000,3
5,SRE,3,Thanos,6872,12.96,132,75000,150,2000,7
5,SRE,3,Tempo,4340,11.07,102,75000,150,2000,3
5,SRE,3,Fluentd,2485,4.17,111,75000,150,2000,2
5,SRE,3,Loki,7357,11.34,144,75000,150,2000,1
5,SRE,3,Nginx ingress,6376,10.77,118,75000,150,2000,7
5,SRE,3,Opentelemetry,6483,12.54,119,75000,150,2000,6
5,SRE,3,Grafana,3212,4.09,102,75000,150,2000,2
5,SRE,3,Kibana,4249,7.1,143,75000,150,2000,4
5,SRE,3,Elasticsearch,8063,16.41,250,75000,150,2000,4
5,SRE,4,Thanos,6174,8.85,115,75000,150,2000,6
5,SRE,4,Tempo,2778,6.03,97,75000,150,2000,3
5,SRE,4,Fluentd,4297,8.6,131,75000,150,2000,2
5,SRE,4,Loki,7812,15.21,189,75000,150,2000,9
5,SRE,4,Nginx ingress,5832,11.61,161,75000,150,2000,7
5,SRE,4,Opentelemetry,5640,12.42,145,75000,150,2000,2
5,SRE,4,Grafana,4003,6.08,87,75000,150,2000,3
5,SRE,4,Kibana,4058,7.93,142,75000,150,2000,9
5,SRE,4,Elasticsearch,6281,16.3,260,75000,150,2000,8
5,SRE,5,Thanos,6458,8.95,131,75000,150,2000,9
5,SRE,5,Tempo,5725,11.53,89,75000,150,2000,2
5,SRE,5,Fluentd,3790,4.18,104,75000,150,2000,2
5,SRE,5,Loki,6456,13.39,158,75000,150,2000,8
5,SRE,5,Nginx ingress,4713,8.57,133,75000,150,2000,6
5,SRE,5,Opentelemetry,5049,11.22,149,75000,150,2000,3
5,SRE,5,Grafana,3508,5.89,116,75000,150,2000,1
5,SRE,5,Kibana,4847,10.77,124,75000,150,2000,4
5,SRE,5,Elasticsearch,8789,17.69,224,75000,150,2000,9
5,SRE,6,Thanos,6507,10.47,187,75000,150,2000,4
5,SRE,6,Tempo,5097,9.9,131,75000,150,2000,2
5,SRE,6,Fluentd,3695,4.98,117,75000,150,2000,6
5,SRE,6,Loki,7360,11.39,182,75000,150,2000,3
5,SRE,6,Nginx ingress,6439,11.12,134,75000,150,2000,2
5,SRE,6,Opentelemetry,4171,16.57,120,75000,150,2000,6
5,SRE,6,Grafana,3275,4.97,112,75000,150,2000,5
5,SRE,6,Kibana,4744,8.6,120,75000,150,2000,4
5,SRE,6,Elasticsearch,8788,18.58,233,75000,150,2000,3
6,SRE,1,Nginx ingress,7586,9.51,223,120000,200,3000,1
6,SRE,1,Elasticsearch,12845,17.63,376,120000,200,3000,2
6,SRE,1,Tempo,7701,15.38,185,120000,200,3000,10
6,SRE,1,Opentelemetry,6835,16.63,167,120000,200,3000,1
6,SRE,1,Kibana,5344,13.52,214,120000,200,3000,6
6,SRE,1,Victoriametrics,11387,16.4,159,120000,200,3000,1
6,SRE,1,Thanos,10968,12.59,199,120000,200,3000,9
6,SRE,1,Loki,10676,15.54,253,120000,200,3000,8
6,SRE,1,Fluentd,8045,5.15,98,120000,200,3000,1
6,SRE,2,Nginx ingress,8008,18.65,253,120000,200,3000,10
6,SRE,2,Elasticsearch,11734,24.46,344,120000,200,3000,1
6,SRE,2,Tempo,7647,11.92,199,120000,200,3000,4
6,SRE,2,Opentelemetry,7170,11.77,153,120000,200,3000,8
6,SRE,2,Kibana,8150,10.46,166,120000,200,3000,1
6,SRE,2,Victoriametrics,11394,13.17,223,120000,200,3000,7
6,SRE,2,Thanos,11720,19.38,167,120000,200,3000,8
6,SRE,2,Loki,9496,15.49,282,120000,200,3000,2
6,SRE,2,Fluentd,5191,10.5,133,120000,200,3000,9
6,SRE,3,Nginx ingress,6373,19.89,275,120000,200,3000,4
6,SRE,3,Elasticsearch,14042,18.95,311,120000,200,3000,4
6,SRE,3,Tempo,6899,8.95,192,120000,200,3000,10
6,SRE,3,Opentelemetry,9897,20.38,232,120000,200,3000,4
6,SRE,3,Kibana,4812,9.84,173,120000,200,3000,5
6,SRE,3,Victoriametrics,6229,17.01,195,120000,200,3000,7
6,SRE,3,Thanos,9596,12.94,254,120000,200,3000,4
6,SRE,3,Loki,7422,16.01,264,120000,200,3000,4
6,SRE,3,Fluentd,7118,9.64,153,120000,200,3000,7
6,SRE,4,Nginx ingress,6874,8.61,185,120000,200,3000,3
6,SRE,4,Elasticsearch,11929,22.1,351,120000,200,3000,3
6,SRE,4,Tempo,7700,8.37,168,120000,200,3000,9
6,SRE,4,Opentelemetry,4142,14.57,166,120000,200,3000,9
6,SRE,4,Kibana,6926,12.89,174,120000,200,3000,5
6,SRE,4,Victoriametrics,8296,12.85,233,120000,200,3000,3
6,SRE,4,Thanos,9703,20.57,210,120000,200,3000,3
6,SRE,4,Loki,10571,22.63,275,120000,200,3000,9
6,SRE,4,Fluentd,6564,8.21,99,120000,200,3000,8
6,SRE,5,Nginx ingress,8414,16.21,279,120000,200,3000,8
6,SRE,5,Elasticsearch,14130,17.16,299,120000,200,3000,7
6,SRE,5,Tempo,7267,9.93,236,120000,200,3000,5
6,SRE,5,Opentelemetry,7712,21.35,180,120000,200,3000,9
6,SRE,5,Kibana,7888,11.83,182,120000,200,3000,4
6,SRE,5,Victoriametrics,5876,14.37,212,120000,200,3000,7
6,SRE,5,Thanos,9465,17.44,172,120000,200,3000,4
6,SRE,5,Loki,8930,15.67,302,120000,200,3000,4
6,SRE,5,Fluentd,5758,6.09,172,120000,200,3000,1
6,SRE,6,Nginx ingress,6900,9.83,190,120000,200,3000,6
6,SRE,6,Elasticsearch,15749,21.93,427,120000,200,3000,7
6,SRE,6,Tempo,9385,11.32,180,120000,200,3000,7
6,SRE,6,Opentelemetry,9250,13.16,206,120000,200,3000,7
6,SRE,6,Kibana,5596,13.23,136,120000,200,3000,2
6,SRE,6,Victoriametrics,9090,12.99,246,120000,200,3000,1
6,SRE,6,Thanos,7513,20.19,250,120000,200,3000,1
6,SRE,6,Loki,11624,21.62,240,120000,200,3000,7
6,SRE,6,Fluentd,6173,6.03,116,120000,200,3000,9
7,Devops,1,Jenkins,2780,10.09,151,50000,100,1400,6
7,Devops,1,Tekton,4832,9.83,114,50000,100,1400,2
7,Devops,1,Gitlab runner,5260,7.85,95,50000,100,1400,1
7,Devops,1,Harbor,5292,11.95,182,50000,100,1400,7
7,Devops,1,Drone,4895,8.59,113,50000,100,1400,4
7,Devops,1,Consul,6340,6.9,116,50000,100,1400,4
7,Devops,1,Argocd,5047,9.82,125,50000,100,1400,1
7,Devops,2,Jenkins,4588,7.58,139,50000,100,1400,3
7,Devops,2,Tekton,4726,8.67,118,50000,100,1400,4
7,Devops,2,Gitlab runner,3267,5.03,98,50000,100,1400,6
7,Devops,2,Harbor,4686,10.47,153,50000,100,1400,7
7,Devops,2,Drone,4278,10.16,124,50000,100,1400,5
7,Devops,2,Consul,3835,7.14,103,50000,100,1400,9
7,Devops,2,Argocd,6679,11.14,141,50000,100,1400,4
7,Devops,3,Jenkins,4846,9.5,114,50000,100,1400,7
7,Devops,3,Tekton,5105,11.23,133,50000,100,1400,3
7,Devops,3,Gitlab runner,2748,7.71,105,50000,100,1400,9
7,Devops,3,Harbor,6008,11.43,175,50000,100,1400,4
7,Devops,3,Drone,3314,5.43,115,50000,100,1400,3
7,Devops,3,Consul,4920,10.04,134,50000,100,1400,4
7,Devops,3,Argocd,6973,9.73,96,50000,100,1400,5
